user_id,event_type,event_time,session_id,category,device,item_price
u_00001,view_product,2024-02-21 20:00:00,s_u_00001_2024-02-21,Одежда,desktop,4895.75
u_00001,add_to_cart,2024-02-21 20:09:00,s_u_00001_2024-02-21,Одежда,desktop,4895.75
u_00001,begin_checkout,2024-02-21 20:18:00,s_u_00001_2024-02-21,Одежда,desktop,4895.75
u_00001,enter_payment,2024-02-21 20:21:00,s_u_00001_2024-02-21,Одежда,desktop,4895.75
u_00001,purchase,2024-02-21 20:36:00,s_u_00001_2024-02-21,Одежда,desktop,4895.75
u_00002,view_product,2024-01-30 13:00:00,s_u_00002_2024-01-30,Одежда,tablet,5054.61
u_00002,add_to_cart,2024-01-30 13:02:00,s_u_00002_2024-01-30,Одежда,tablet,5054.61
u_00002,begin_checkout,2024-01-30 13:22:00,s_u_00002_2024-01-30,Одежда,tablet,5054.61
u_00002,enter_payment,2024-01-30 13:39:00,s_u_00002_2024-01-30,Одежда,tablet,5054.61
u_00002,purchase,2024-01-30 13:16:00,s_u_00002_2024-01-30,Одежда,tablet,5054.61
u_00003,view_product,2024-02-24 11:00:00,s_u_00003_2024-02-24,Электроника,mobile,4978.1
u_00003,add_to_cart,2024-02-24 11:10:00,s_u_00003_2024-02-24,Электроника,mobile,4978.1
u_00004,view_product,2024-01-09 17:00:00,s_u_00004_2024-01-09,Одежда,desktop,3689.17
u_00005,view_product,2024-02-04 21:00:00,s_u_00005_2024-02-04,Электроника,mobile,6116.28
u_00006,view_product,2024-02-23 20:00:00,s_u_00006_2024-02-23,Красота,desktop,7534.14
u_00007,view_product,2024-03-02 15:00:00,s_u_00007_2024-03-02,Спорт,desktop,4455.63
u_00007,add_to_cart,2024-03-02 15:13:00,s_u_00007_2024-03-02,Спорт,desktop,4455.63
u_00007,begin_checkout,2024-03-02 15:28:00,s_u_00007_2024-03-02,Спорт,desktop,4455.63
u_00008,view_product,2024-03-05 16:00:00,s_u_00008_2024-03-05,Красота,desktop,1830.11
u_00008,add_to_cart,2024-03-05 16:09:00,s_u_00008_2024-03-05,Красота,desktop,1830.11
u_00009,view_product,2024-02-02 18:00:00,s_u_00009_2024-02-02,Одежда,mobile,1192.19
u_00009,add_to_cart,2024-02-02 18:02:00,s_u_00009_2024-02-02,Одежда,mobile,1192.19
u_00009,begin_checkout,2024-02-02 18:16:00,s_u_00009_2024-02-02,Одежда,mobile,1192.19
u_00009,enter_payment,2024-02-02 18:18:00,s_u_00009_2024-02-02,Одежда,mobile,1192.19
u_00009,purchase,2024-02-02 18:36:00,s_u_00009_2024-02-02,Одежда,mobile,1192.19
u_00010,view_product,2024-03-26 18:00:00,s_u_00010_2024-03-26,Электроника,mobile,7782.18
u_00011,view_product,2024-01-14 14:00:00,s_u_00011_2024-01-14,Одежда,desktop,1153.86
u_00011,add_to_cart,2024-01-14 14:08:00,s_u_00011_2024-01-14,Одежда,desktop,1153.86
u_00011,begin_checkout,2024-01-14 14:28:00,s_u_00011_2024-01-14,Одежда,desktop,1153.86
u_00011,enter_payment,2024-01-14 14:18:00,s_u_00011_2024-01-14,Одежда,desktop,1153.86
u_00011,purchase,2024-01-14 14:56:00,s_u_00011_2024-01-14,Одежда,desktop,1153.86
u_00012,view_product,2024-01-15 18:00:00,s_u_00012_2024-01-15,Одежда,tablet,4911.26
u_00013,view_product,2024-02-14 21:00:00,s_u_00013_2024-02-14,Дом и сад,desktop,6488.27
u_00013,add_to_cart,2024-02-14 21:08:00,s_u_00013_2024-02-14,Дом и сад,desktop,6488.27
u_00014,view_product,2024-03-02 08:00:00,s_u_00014_2024-03-02,Одежда,desktop,304.01
u_00014,add_to_cart,2024-03-02 08:09:00,s_u_00014_2024-03-02,Одежда,desktop,304.01
u_00014,begin_checkout,2024-03-02 08:12:00,s_u_00014_2024-03-02,Одежда,desktop,304.01
